"NoCom","CodeCli","NoEmp","DateCom","ALivAvant","DateEnv","NoMess","Port","Destinataire","AdrLiv","VilleLiv","RegionLiv","CodepostalLiv","PaysLiv"
"10787","LAMAI","2","2016-01-19","2016-02-02","2016-01-26","1","1250","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10788","QUICK","1","2016-01-22","2016-02-19","2016-02-19","2","214","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10789","FOLIG","1","2016-01-22","2016-02-19","2016-01-31","2","503","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10790","GOURL","6","2016-01-22","2016-02-19","2016-01-26","1","141","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10791","FRANK","6","2016-01-23","2016-02-20","2016-02-01","2","84","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10792","WOLZA","1","2016-01-23","2016-02-20","2016-01-31","3","119","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Pologne"
"10793","AROUT","3","2016-01-24","2016-02-21","2016-02-08","3","23","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10794","QUEDE","6","2016-01-24","2016-02-21","2016-02-02","1","107","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10795","ERNSH","8","2016-01-24","2016-02-21","2016-02-20","2","633","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10796","HILAA","3","2016-01-25","2016-02-22","2016-02-14","1","133","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10797","DRACD","7","2016-01-25","2016-02-22","2016-02-05","2","167","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Allemagne"
"10798","ISLAT","2","2016-01-26","2016-02-23","2016-02-05","1","12","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10799","KOENE","9","2016-01-26","2016-03-08","2016-02-05","3","154","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10800","SEVES","1","2016-01-26","2016-02-23","2016-02-05","3","687","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10801","BOLID","4","2016-01-29","2016-02-26","2016-01-31","2","485","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Espagne"
"10802","SIMOB","4","2016-01-29","2016-02-26","2016-02-02","2","1286","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10803","WELLI","4","2016-01-30","2016-02-27","2016-02-06","1","276","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10804","SEVES","6","2016-01-30","2016-02-27","2016-02-07","2","137","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10805","THEBI","2","2016-01-30","2016-02-27","2016-02-09","3","1187","The Big Cheese","89 Jefferson Way  Suite 2","Portland","OR","97201","Etats-Unis"
"10806","VICTE","3","2016-01-31","2016-02-28","2016-02-05","2","111","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10807","FRANS","4","2016-01-31","2016-02-28","2016-03-01","1","7","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italie"
"10808","OLDWO","2","2016-02-01","2016-02-29","2016-02-09","3","228","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10809","WELLI","7","2016-02-01","2016-02-29","2016-02-07","1","24","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10810","LAUGB","2","2016-02-01","2016-02-29","2016-02-07","3","22","Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
"10811","LINOD","8","2016-02-02","2016-03-01","2016-02-08","1","156","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10812","REGGC","5","2016-02-02","2016-03-01","2016-02-12","1","299","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10813","RICAR","1","2016-02-05","2016-03-04","2016-02-09","1","237","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10814","VICTE","3","2016-02-05","2016-03-04","2016-02-14","3","655","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10815","SAVEA","2","2016-02-05","2016-03-04","2016-02-14","3","73","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10816","GREAL","4","2016-02-06","2016-03-05","2016-03-06","2","3599","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10817","KOENE","3","2016-02-06","2016-02-20","2016-02-13","2","1530","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10818","MAGAA","7","2016-02-07","2016-03-06","2016-02-12","3","327","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10819","CACTU","2","2016-02-07","2016-03-06","2016-02-16","3","99","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentine"
"10820","RATTC","3","2016-02-07","2016-03-06","2016-02-13","2","188","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10821","SPLIR","1","2016-02-08","2016-03-07","2016-02-15","1","183","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10822","TRAIH","6","2016-02-08","2016-03-07","2016-02-16","3","35","Trails Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","Etats-Unis"
"10823","LILAS","5","2016-02-09","2016-03-08","2016-02-13","2","820","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10824","FOLKO","8","2016-02-09","2016-03-08","2016-03-01","1","6","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10825","DRACD","1","2016-02-09","2016-03-08","2016-02-14","1","396","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Allemagne"
"10826","BLONP","6","2016-02-12","2016-03-11","2016-03-08","1","35","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10827","BONAP","1","2016-02-12","2016-02-26","2016-03-08","2","318","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10828","RANCH","9","2016-02-13","2016-02-27","2016-03-06","1","454","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentine"
"10829","ISLAT","9","2016-02-13","2016-03-12","2016-02-23","1","774","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10830","TRADH","4","2016-02-13","2016-03-26","2016-02-21","2","409","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10831","SANTG","3","2016-02-14","2016-03-13","2016-02-23","2","361","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norvège"
"10832","LAMAI","2","2016-02-14","2016-03-13","2016-02-19","2","216","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10833","OTTIK","6","2016-02-15","2016-03-14","2016-02-23","2","357","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10834","TRADH","1","2016-02-15","2016-03-14","2016-02-19","3","149","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10835","ALFKI","1","2016-02-15","2016-03-14","2016-02-21","3","348","Alfreds Futterkiste","Obere Str. 57","Berlin","","12209","Allemagne"
"10836","ERNSH","7","2016-02-16","2016-03-15","2016-02-21","1","2059","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10837","BERGS","9","2016-02-16","2016-03-15","2016-02-23","3","67","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10838","LINOD","3","2016-02-19","2016-03-18","2016-02-23","3","296","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10839","TRADH","3","2016-02-19","2016-03-18","2016-02-22","3","177","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10840","LINOD","4","2016-02-19","2016-04-01","2016-03-18","2","14","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10841","SUPRD","5","2016-02-20","2016-03-19","2016-02-29","2","2122","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10842","TORTU","1","2016-02-20","2016-03-19","2016-02-29","3","272","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10843","VICTE","4","2016-02-21","2016-03-20","2016-02-26","2","46","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10844","PICCO","8","2016-02-21","2016-03-20","2016-02-26","2","126","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10845","QUICK","8","2016-02-21","2016-03-06","2016-03-01","1","1065","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10846","SUPRD","2","2016-02-22","2016-04-04","2016-02-23","3","282","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10847","SAVEA","4","2016-02-22","2016-03-07","2016-03-12","3","2438","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10848","CONSH","7","2016-02-23","2016-03-22","2016-02-29","2","191","Consolidated Holdings","Berkeley Gardens  12  Brewery","London","","WX1 6LT","Royaume-Uni"
"10849","KOENE","9","2016-02-23","2016-03-22","2016-03-01","2","3","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10850","VICTE","1","2016-02-23","2016-04-05","2016-03-01","1","246","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10851","RICAR","5","2016-02-26","2016-03-25","2016-03-04","1","803","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10852","RATTC","8","2016-02-26","2016-03-11","2016-03-01","1","870","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10853","BLAUS","9","2016-02-27","2016-03-26","2016-03-05","2","269","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10854","ERNSH","3","2016-02-27","2016-03-26","2016-03-07","2","501","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10855","OLDWO","3","2016-02-27","2016-03-26","2016-03-06","1","855","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10856","ANTON","3","2016-02-28","2016-03-27","2016-03-12","2","292","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10857","BERGS","8","2016-02-28","2016-03-27","2016-03-08","2","944","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10858","LACOR","2","2016-02-29","2016-03-28","2016-03-05","1","263","La corne dabondance","67, avenue de lEurope","Versailles","","78000","France"
"10859","FRANK","1","2016-02-29","2016-03-28","2016-03-04","2","380","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10860","FRANR","3","2016-02-29","2016-03-28","2016-03-06","3","96","France restauration","54, rue Royale","Nantes","","44000","France"
"10861","WHITC","4","2016-03-01","2016-03-29","2016-03-19","2","75","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10862","LEHMS","8","2016-03-01","2016-04-12","2016-03-04","2","266","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10863","HILAA","4","2016-03-04","2016-04-01","2016-03-19","2","151","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10864","AROUT","4","2016-03-04","2016-04-01","2016-03-11","2","15","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10865","QUICK","2","2016-03-04","2016-03-18","2016-03-14","1","1741","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10866","BERGS","5","2016-03-05","2016-04-02","2016-03-14","1","546","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10867","LONEP","6","2016-03-05","2016-04-16","2016-03-13","1","10","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10868","QUEEN","7","2016-03-06","2016-04-03","2016-03-25","2","956","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10869","SEVES","5","2016-03-06","2016-04-03","2016-03-11","1","716","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10870","WOLZA","5","2016-03-06","2016-04-03","2016-03-15","3","60","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Pologne"
"10871","BONAP","9","2016-03-07","2016-04-04","2016-03-12","2","561","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10872","GODOS","5","2016-03-07","2016-04-04","2016-03-11","2","877","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10873","WILMK","4","2016-03-08","2016-04-05","2016-03-11","1","4","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10874","GODOS","5","2016-03-08","2016-04-05","2016-03-13","2","98","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10875","BERGS","4","2016-03-08","2016-04-05","2016-04-02","2","162","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10876","BONAP","7","2016-03-11","2016-04-08","2016-03-14","3","302","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10877","RICAR","1","2016-03-11","2016-04-08","2016-03-21","1","190","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10878","QUICK","4","2016-03-12","2016-04-09","2016-03-14","1","233","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10879","WILMK","3","2016-03-12","2016-04-09","2016-03-14","3","42","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10880","FOLKO","7","2016-03-12","2016-04-23","2016-03-20","1","440","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10881","CACTU","4","2016-03-13","2016-04-10","2016-03-20","1","14","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentine"
"10882","SAVEA","4","2016-03-13","2016-04-10","2016-03-22","3","116","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10883","LONEP","8","2016-03-14","2016-04-11","2016-03-22","3","3","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10884","LETSS","4","2016-03-14","2016-04-11","2016-03-15","2","455","Lets Stop N Shop","87 Polk St.  Suite 5","San Francisco","CA","94117","Etats-Unis"
"10885","SUPRD","6","2016-03-14","2016-04-11","2016-03-20","3","28","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10886","HANAR","1","2016-03-15","2016-04-12","2016-04-01","1","25","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10887","GALED","8","2016-03-15","2016-04-12","2016-03-18","3","6","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Espagne"
"10888","GODOS","1","2016-03-18","2016-04-15","2016-03-25","2","259","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10889","RATTC","9","2016-03-18","2016-04-15","2016-03-25","3","1403","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10890","DUMON","7","2016-03-18","2016-04-15","2016-03-20","1","164","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10891","LEHMS","7","2016-03-19","2016-04-16","2016-03-21","2","102","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10892","MAISD","4","2016-03-19","2016-04-16","2016-03-21","2","601","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgique"
"10893","KOENE","9","2016-03-20","2016-04-17","2016-03-22","2","389","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10894","SAVEA","1","2016-03-20","2016-04-17","2016-03-22","1","581","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10895","ERNSH","3","2016-03-20","2016-04-17","2016-03-25","1","814","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10896","MAISD","7","2016-03-21","2016-04-18","2016-03-29","3","162","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgique"
"10897","HUNGO","3","2016-03-21","2016-04-18","2016-03-27","2","3018","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10898","OCEAN","4","2016-03-22","2016-04-19","2016-04-05","2","6","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585  Piso 20-A","Buenos Aires","","1010","Argentine"
"10899","LILAS","5","2016-03-22","2016-04-19","2016-03-28","3","6","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10900","WELLI","1","2016-03-22","2016-04-19","2016-04-03","2","8","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10901","HILAA","4","2016-03-25","2016-04-22","2016-03-28","1","310","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10902","FOLKO","1","2016-03-25","2016-04-22","2016-04-02","1","221","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10903","HANAR","3","2016-03-26","2016-04-23","2016-04-03","3","184","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10904","WHITC","3","2016-03-26","2016-04-23","2016-03-29","3","815","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10905","WELLI","9","2016-03-26","2016-04-23","2016-04-05","2","69","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10906","WOLZA","4","2016-03-27","2016-04-10","2016-04-02","3","131","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Pologne"
"10907","SPECD","6","2016-03-27","2016-04-24","2016-03-29","3","46","Spécialités du monde","25, rue Lauriston","Paris","","75016","France"
"10908","REGGC","4","2016-03-28","2016-04-25","2016-04-05","2","165","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10909","SANTG","1","2016-03-28","2016-04-25","2016-04-09","2","265","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norvège"
"10910","WILMK","1","2016-03-28","2016-04-25","2016-04-03","3","191","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10911","GODOS","3","2016-03-28","2016-04-25","2016-04-04","1","191","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10912","HUNGO","2","2016-03-28","2016-04-25","2016-04-17","2","2905","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10913","QUEEN","4","2016-03-28","2016-04-25","2016-04-03","1","165","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10914","QUEEN","6","2016-03-29","2016-04-26","2016-04-01","1","106","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10915","TORTU","2","2016-03-29","2016-04-26","2016-04-01","2","18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10916","RANCH","1","2016-03-29","2016-04-26","2016-04-08","2","319","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentine"
"10917","ROMEY","4","2016-04-01","2016-04-29","2016-04-10","2","41","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Espagne"
"10918","BOTTM","3","2016-04-01","2016-04-29","2016-04-10","3","244","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10919","LINOD","2","2016-04-01","2016-04-29","2016-04-03","2","99","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10920","AROUT","4","2016-04-02","2016-04-30","2016-04-08","2","148","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10921","VAFFE","1","2016-04-02","2016-05-14","2016-04-08","1","882","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10922","HANAR","5","2016-04-02","2016-04-30","2016-04-04","3","314","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10923","LAMAI","7","2016-04-02","2016-05-14","2016-04-12","3","341","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10924","BERGS","3","2016-04-03","2016-05-01","2016-05-08","2","758","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10925","HANAR","3","2016-04-03","2016-05-01","2016-04-12","1","11","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10926","ANATR","4","2016-04-03","2016-05-01","2016-04-10","3","200","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","5021","Mexique"
"10927","LACOR","4","2016-04-04","2016-05-02","2016-05-08","1","99","La corne dabondance","67, avenue de lEurope","Versailles","","78000","France"
"10928","GALED","1","2016-04-04","2016-05-02","2016-04-17","1","7","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Espagne"
"10929","FRANK","6","2016-04-04","2016-05-02","2016-04-11","1","170","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10930","SUPRD","4","2016-04-05","2016-05-17","2016-04-17","3","78","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10931","RICSU","4","2016-04-05","2016-04-19","2016-04-18","2","68","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10932","BONAP","8","2016-04-05","2016-05-03","2016-04-23","1","673","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10933","ISLAT","6","2016-04-05","2016-05-03","2016-04-15","3","271","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10934","LEHMS","3","2016-04-08","2016-05-06","2016-04-11","3","160","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10935","WELLI","4","2016-04-08","2016-05-06","2016-04-17","3","238","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10936","GREAL","3","2016-04-08","2016-05-06","2016-04-17","2","168","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10937","CACTU","7","2016-04-09","2016-04-23","2016-04-12","3","158","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentine"
"10938","QUICK","3","2016-04-09","2016-05-07","2016-04-15","2","159","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10939","MAGAA","2","2016-04-09","2016-05-07","2016-04-12","2","382","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10940","BONAP","8","2016-04-10","2016-05-08","2016-04-22","3","99","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10941","SAVEA","7","2016-04-10","2016-05-08","2016-04-19","2","2004","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10942","REGGC","9","2016-04-10","2016-05-08","2016-04-17","3","90","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10943","BSBEV","4","2016-04-10","2016-05-08","2016-04-18","2","11","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10944","BOTTM","6","2016-04-11","2016-04-25","2016-04-12","3","265","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10945","MORGK","4","2016-04-11","2016-05-09","2016-04-17","1","51","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","4179","Allemagne"
"10946","VAFFE","1","2016-04-11","2016-05-09","2016-04-18","2","136","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10947","BSBEV","3","2016-04-12","2016-05-10","2016-04-15","2","16","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10948","GODOS","3","2016-04-12","2016-05-10","2016-04-18","3","117","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10949","BOTTM","2","2016-04-12","2016-05-10","2016-04-16","3","372","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10950","MAGAA","1","2016-04-15","2016-05-13","2016-04-22","2","12","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10951","RICSU","9","2016-04-15","2016-05-27","2016-05-07","2","154","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10952","ALFKI","1","2016-04-15","2016-05-27","2016-04-23","1","202","Alfreds Futterkiste","Obere Str. 57","Berlin","","12209","Allemagne"
"10953","AROUT","9","2016-04-15","2016-04-29","2016-04-24","2","119","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10954","LINOD","5","2016-04-16","2016-05-28","2016-04-19","1","140","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10955","FOLKO","8","2016-04-16","2016-05-14","2016-04-19","2","16","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10956","BLAUS","6","2016-04-16","2016-05-28","2016-04-19","2","223","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10957","HILAA","8","2016-04-17","2016-05-15","2016-04-26","3","527","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10958","OCEAN","7","2016-04-17","2016-05-15","2016-04-26","2","248","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585  Piso 20-A","Buenos Aires","","1010","Argentine"
"10959","GOURL","6","2016-04-17","2016-05-29","2016-04-22","2","25","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10960","HILAA","3","2016-04-18","2016-05-02","2016-05-08","1","10","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10961","QUEEN","8","2016-04-18","2016-05-16","2016-04-29","1","522","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10962","QUICK","8","2016-04-18","2016-05-16","2016-04-22","2","1379","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10963","FURIB","9","2016-04-18","2016-05-16","2016-04-25","3","14","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10964","SPECD","3","2016-04-19","2016-05-17","2016-04-23","2","437","Spécialités du monde","25, rue Lauriston","Paris","","75016","France"
"10965","OLDWO","6","2016-04-19","2016-05-17","2016-04-29","3","722","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
